pmid,title,year,journal,n_authors,authors,affiliations,primary_country,primary_region,all_countries
41903191,First-trimester prediction and prevention of preterm pre-eclampsia in women with chronic hypertension.,2026,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,7,Rolnik D L; Gil-Pugliese S; Syngelaki A; Bujold E; Wright D,"Department of Obstetrics and Gynaecology, Monash University, Melbourne, Australia. | Department of Perinatology, University Institute of Biomedical Sciences of Córdoba, Córdoba, Argentina. | Fetal Medicine Research Institute, King's College Hospital, London, UK.",Australia,Global North,Australia; Argentina; United Kingdom; Canada; China
41896646,"Structural analysis of causal pathways between adherence, satisfaction and clinical outcomes in hypertensive patients using a mobile adherence intervention: A SEM-NCA-cIPMA approach.",2026,Journal of human hypertension,7,Rana Rajat; Ibrahim Baharudin Bin; Huri Hasniza Binti Zaman; Wahab Izyan Binti A; Govindaraju Kayatri,"Department of Clinical Pharmacy and Pharmacy Practice, Faculty of Pharmacy, Universiti Malaya, 50603, Kuala Lumpur, Malaysia. | Department of Clinical Pharmacy and Pharmacy Practice, Faculty of Pharmacy, Universiti Malaya, 50603, Kuala Lumpur, Malaysia. baharudin.ibrahim@um.edu.my. | Department of Clinical Pharmacy and Pharmacy Practice, Faculty of Pharmacy, Universiti Malaya, 50603, Kuala Lumpur, Malaysia. hasnizazh@um.edu.my.",Malaysia,Global South,Malaysia
41886723,Final Efficacy and Safety Data From the Phase I/II ARROW Study of Pralsetinib in Patients With Advanced <i>RET</i> Fusion-Positive Non-Small Cell Lung Cancer.,2026,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,31,Besse Benjamin; Subbiah Vivek; Curigliano Giuseppe; Bowles Daniel W; Doebele Robert C,"Department of Cancer Medicine, Gustave Roussy Cancer Campus, Paris Saclay University, Villejuif, France. | UT MD Anderson Cancer Center, Houston, TX. | Sarah Cannon Research Institute, Nashville, TN.",France,Global North,France; Houston; Nashville; Italy; Aurora; Rochester; Seattle; Miami; Spain; Portland; Singapore; Detroit; Ann Arbor; Orange; the Netherlands; Newport Beach; Albany; Germany; Washington; Jacksonville; Austin; Columbia; New York; South San Francisco; Republic of Korea; Boston
41877571,Effects of dietary patterns and sodium intake on blood pressure variability: results from the DASH and DASH-sodium trials.,2026,Journal of hypertension,6,Zou Siyu; Gao Sunan; Juraschek Stephen P; Miller Edgar R; Matsushita Kunihiro,"Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland. | Department of Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, Massachusetts. | Welch Center for Prevention, Epidemiology, and Clinical Research, Johns Hopkins University.",Maryland,Unknown,Maryland; Massachusetts; Johns Hopkins University; USA
41870419,Effects of Exercise and Intensive Vascular Risk Reduction on Cognitive Function in Older Adults: A Randomized Clinical Trial.,2026,JAMA neurology,16,Zhang Rong; Vidoni Eric; Vongpatanasin Wanpen; Kerwin Diana R; Cullum C Munro,"Institute for Exercise and Environmental Medicine, Texas Health Presbyterian Hospital Dallas, Dallas. | Departments of Neurology, Internal Medicine, and Biomedical Engineering, University of Texas (UT) Southwestern Medical Center, Dallas. | University of Kansas Alzheimer's Disease Research Center, Fairway.",Dallas,Unknown,Dallas; Fairway; Texas; Lexington; Kansas City; East Lansing; New York; Louisiana; Missouri
41856329,"Participant recruitment, baseline characteristics and burden of cardiometabolic risk markers among adults with prediabetes in Kenya: insights from the fermented foods and prediabetes study.",2026,Diabetes research and clinical practice,10,Iseme-Ondiek Rosebella; Muia Alex; Shabani Jacob Shundi; Mucheru Samuel; Gathu Catherine,"Department of Population Health, Medical College, Aga Khan University-East Africa, Nairobi, Kenya. Electronic address: rosebella.ondiek@aku.edu. | Family Medicine Department, Medical College, Aga Khan University-East Africa, Nairobi, Kenya. Electronic address: alex.muia@scholar.aku.edu. | Family Medicine Department, Medical College, Aga Khan University-East Africa, Nairobi, Kenya. Electronic address: jacob.shabani@aku.edu.",Kenya. Electronic address:,Global South,Kenya. Electronic address:; Kenya; Sweden. Electronic address:
41856160,"Mycophenolate mofetil versus prednisone for the initial treatment of idiopathic steroid-sensitive nephrotic syndrome in children in Germany (INTENT): a multicentre, open-label, randomised, controlled, parallel-group, non-inferiority, phase 3 trial.",2026,The Lancet. Child & adolescent health,26,Benz Marcus R; Sander Anja; Ehren Rasmus; Höcker Britta; Fichtner Alexander,"Children's and Adolescents' Hospital, University Hospital of Cologne, University of Cologne, Faculty of Medicine, Cologne, Germany; Pediatric Nephrology Dachau, Dachau, Germany; Department of Paediatrics, Dritter Orden Clinic Munich-Nymphenburg, Munich, Germany. | Institute of Medical Biometry, University Hospital of Heidelberg, University of Heidelberg, Heidelberg, Germany. | Children's and Adolescents' Hospital, University Hospital of Cologne, University of Cologne, Faculty of Medicine, Cologne, Germany.",Germany,Global North,Germany; Germany. Electronic address:
41841357,Implementation of a clinical decision support tool for hypertension in a rural health system.,2026,Journal of the American Medical Informatics Association : JAMIA,12,Kharbanda Elyse O; Asche Stephen E; Essien Inih; Allen Clayton I; Freitag Laura A,"HealthPartners Institute, Minneapolis, MN 55440, United States. | Essentia Health, Duluth, MN 55805, United States. | Essentia Institute for Rural Health, Duluth, MN 55805, United States.",USA,Global North,USA
41837993,Comparative Effectiveness of Antihypertensive Medications in Children With Chronic Kidney Disease.,2026,JAMA pediatrics,27,Denburg Michelle R; Goodwin Davies Amy J; Maltenfort Mitchell G; Mitsnefes Mark M; Flynn Joseph T,"Children's Hospital of Philadelphia, Philadelphia, Pennsylvania. | Perelman School of Medicine at the University of Pennsylvania, Philadelphia. | Cincinnati Children's Hospital Medical Center, University of Cincinnati, Cincinnati, Ohio.",Pennsylvania,Unknown,Pennsylvania; Philadelphia; Ohio; Seattle; Maryland; Aurora; Chapel Hill; Delaware; Iowa City; Florida; California; Ann Arbor; Milwaukee; Columbus; Gainesville; Illinois; Indianapolis
41820779,Long-Term Treatment with Single-Tablet Combination of Macitentan and Tadalafil in Pulmonary Arterial Hypertension: Results from A DUE and Its Open-Label Period.,2026,Advances in therapy,9,Ford H James; Chin Kelly M; Fan Fenling; Friberg Michael; Grünig Ekkehard,"Division of Pulmonary and Critical Care Medicine, University of North Carolina, Chapel Hill, NC, USA. | UT Southwestern Medical Center, Dallas, TX, USA. | First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, China.",USA,Global North,USA; China; United Kingdom; Germany; Switzerland; Czech Republic
41819297,"Initiation of dolutegravir vs efavirenz on 12- and 24-month weight, body mass index, blood pressure, and incident hypertension: A target trial emulation.",2026,Annals of epidemiology,10,Zheng Amy; Fox Matthew P; Greener Ross; Kileel Emma M; Bor Jacob,"Department of Epidemiology, Boston University School of Public Health, Boston, MA 02118, United States; Department of Global Health, Boston University School of Public Health, Boston, MA 02118, United States. | Department of Epidemiology, Boston University School of Public Health, Boston, MA 02118, United States; Department of Global Health, Boston University School of Public Health, Boston, MA 02118, United States; Health Economics and Epidemiology Research Office, Faculty of Health Sciences, University of the Witwatersrand, Johannesburg 2193, South Africa. | Health Economics and Epidemiology Research Office, Faculty of Health Sciences, University of the Witwatersrand, Johannesburg 2193, South Africa.",USA,Global North,USA; South Africa; South Africa. Electronic address:
41804187,Estimated Glucose Disposal Rate and Risk of Vascular Events and Death in Type 2 Diabetes in the ADVANCE Study.,2026,"Diabetes, obesity & metabolism",14,Wang Ruirui; Zhang Yonghong; Gao Yijie; Chen Linan; Chen Xiaoying,"Department of Epidemiology, School of Public Health and Jiangsu Key Laboratory of Preventive and Translational Medicine for Major Chronic Non-Communicable Diseases, Suzhou Medical College of Soochow University, Suzhou, China. | The George Institute for Global Health, University of New South Wales, Randwick, New South Wales, Australia. | Institute of Science and Technology for Brain-Inspired Intelligence, Fudan University, Shanghai, China.",China,Global South,China; United Kingdom; Australia; France; Canada; Italy
41763609,Final overall survival results from EORTC 1333/PEACE-3 trial of enzalutamide plus radium-223 in metastatic castration-resistant prostate cancer.,2026,Annals of oncology : official journal of the European Society for Medical Oncology,25,Gillessen S; Gallardo E; Choudhury A; Saad F; Soares A,"Oncology Institute of Southern Switzerland, EOC, Bellinzona, Switzerland; Università della Svizzera Italiana, Faculty of Biosciences, Lugano, Switzerland. Electronic address: silke.gillessen@eoc.ch. | Parc Taulí Hospital Universitari, Institut d'Investigació I Innovació Parc Taulí (I3PT-CERCA), Universitat Autònoma de Barcelona, Sabadell, Spain. | Division of Cancer Sciences, University of Manchester, Manchester, UK; The Christie NHS Foundation Trust, Manchester, UK.",Switzerland. Electronic address:,Global North,Switzerland. Electronic address:; Spain; United Kingdom; Canada; Brazil; France; Ireland; Italy; Belgium; Denmark; Poland
41744104,Pharmacogenomics-guided personalized therapy for hypertension: a multicenter randomized trial.,2026,Journal of hypertension,12,Yu Mingzhong; Pan Min; Huang Bangbang; Fan Jinmao; Lin Lijian,"Department of Geriatrics, the First Affiliated Hospital of Fujian Medical University. | Department of Geriatrics, National Regional Medical Center, Binhai Campus of the First Affiliated Hospital, Fujian Medical University. | Fujian Hypertension Research Institute.",the First Affiliated Hospital of Fujian Medical University,Unknown,the First Affiliated Hospital of Fujian Medical University; Fujian Medical University; Fujian Hypertension Research Institute; Clinical Research Center for Geriatric Hypertension Disease of Fujian Province; Fuzhou; Ningde; Nanping; Xiamen; China
41724486,A clinical study examining the effects of dietary nitrate on urinary N-nitrosamines.,2026,The American journal of clinical nutrition,8,Bondonno Catherine P; Sundqvist Michaela L; Shinde Sujata; Croft Kevin; Hodgson Jonathan M,"Edith Cowan University, Joondalup, Australia; University of Western Australia, Perth, Australia. Electronic address: c.bondonno@ecu.edu.au. | Department of Physiology, Nutrition and Biomechanics, The Swedish School of Sport and Health Sciences, Stockholm, Sweden; Department of Physiology and Pharmacology, Karolinska Institutet, Stockholm, Sweden. | University of Western Australia, Perth, Australia.",Australia. Electronic address:,Global North,Australia. Electronic address:; Sweden; Australia; Sweden. Electronic address:
41631620,High-Flow Nasal Cannula Reduces Ventilatory Requirements During Endobronchial Ultrasound.,2026,Respiratory care,3,Miechels Jeffrey; Claessens Niels J M; Koning Mark V,"Mr. Miechels is affiliated with the Department of Anesthesiology, Rijnstate Hospital, Arnhem, The Netherlands. | Dr. Claessens is affiliated with the Department of Pulmonology, Rijnstate Hospital, Arnhem, The Netherlands. | Dr. Koning is affiliated with the Department of Anesthesiology and Critical Care, Rijnstate Hospital, Arnhem, The Netherlands.",The Netherlands,Global North,The Netherlands
41568520,Efficacy and Safety of Finerenone in Patients With Primary Aldosteronism: A Multicenter Prospective Study.,2026,"Hypertension (Dallas, Tex. : 1979)",13,Li Ping; Yang Fan; Lou Yuxing; Zhang Ziwei; Du Yunfeng,"Department of Endocrinology, Endocrine and Metabolic Disease Medical Center, Nanjing Drum Tower Hospital, Affiliated Hospital of Medical School, Nanjing University, China (P.L., F.Y., Z.Z., D.Z.). | Department of Endocrinology, Endocrine and Metabolic Disease Medical Center, Nanjing Drum Tower Hospital Clinical College of Nanjing University of Chinese Medicine, China (P.L., Y.L.). | Department of Endocrinology, The Second People's Hospital of Changzhou, The Third Affiliated Hospital of Nanjing Medical University, China (Y.D., J.Z.).",D.Z.),Unknown,D.Z.); Y.L.); J.Z.); Chengdu (Y.R.); Beijing (A.T.); China (Z.X.); China (B.S.); China (J.L.); China (L.L.)
41429287,"A Prospective, Multicenter, Open-Label, Single-Arm Phase 2 Study to Investigate the Pharmacokinetics, Safety, Tolerability, and Exploratory Efficacy of Selexipag in Children With Pulmonary Arterial Hypertension.",2026,Chest,11,Beghetti Maurice; Axelsen Lene Nygaard; Borissoff Julian I; Farhan Mahdi; Grill Simon,"Paediatric Cardiology Unit, University Hospitals of Geneva, Geneva, Switzerland. | Johnson & Johnson, Allschwil, Switzerland. | Johnson & Johnson, Allschwil, Switzerland. Electronic address: JBorisso@its.jnj.com.",Switzerland,Global North,Switzerland; Switzerland. Electronic address:; Italy; United Kingdom
41428040,Increased fluid intake and blood pressure in healthy children: a randomized controlled trial. The SPA Project.,2026,"Pediatric nephrology (Berlin, Germany)",13,Ardissino Gianluigi; Viola Laura; Mancuso Maria Cristina; Ria Thomas; Tamburini Giacomo,"Pediatric Nephrology, Dialysis and Transplantation Unit, Centro per la Cura e lo Studio della Sindrome Emolitico-Uremica (Center for HUS Control, Prevention and Management), Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico, Milan, Italy. ardissino@centroseu.org. | Pediatric Unit, Ospedale di Stato, ISS, San Marino, San Marino. | Pediatric Nephrology, Dialysis and Transplantation Unit, Centro per la Cura e lo Studio della Sindrome Emolitico-Uremica (Center for HUS Control, Prevention and Management), Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico, Milan, Italy.",Italy,Global North,Italy; San Marino
41362018,Effects of zibotentan and dapagliflozin combined in patients with compensated cirrhosis: A randomized placebo-controlled exploratory study.,2026,British journal of clinical pharmacology,20,Garcia-Pagan Juan Carlos; Gluud Lise Lotte; Mandorfer Mattias; Schattenberg Jörn M; De Gottardi Andrea,"Barcelona Hepatic Hemodynamic Laboratory, Liver Unit, Hospital Clínic, Institut de Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS). CIBEREHD (Centro de Investigación Biomédica en Red Enfermedades Hepáticas y Digestivas). Health Care Provider of the European Reference Network on Rare Liver Disorders (ERN RARE-Liver). Departament de Medicina i Ciències de la Salut. Universitat de Barcelona, Barcelona, Spain. | Gastro Unit, Copenhagen University Hospital Hvidovre and Department of Clinical Medicine, University of Copenhagen, Copenhagen, Denmark. | Vienna Hepatic Hemodynamic Lab, Division of Gastroenterology and Hepatology, Department of Medicine III, Medical University of Vienna, Vienna, Austria.",Spain,Global North,Spain; Denmark; Austria; Germany; Switzerland; Poland; Sweden; USA
41242357,"Evaluating oral selexipag in pulmonary arterial hypertension: Insights on survival, safety, and dosing patterns from the complete observation period of GRIPHON and its open-label extension.",2026,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,12,McLaughlin Vallerie V; Howard Luke; Elwing Jean; Fernandes Catarina C; Gaine Sean,"Department of Internal Medicine, Division of Cardiovascular Medicine, University of Michigan, Ann Arbor, Michigan. Electronic address: vmclaugh@med.umich.edu. | National Pulmonary Hypertension Service, Imperial College Healthcare NHS Trust, Hammersmith Hospital, London, UK and National Heart & Lung Institute, Imperial College London, London, UK. | Pulmonary and Critical Care Medicine, University of Cincinnati, Cincinnati, Ohio.",Michigan. Electronic address:,Unknown,Michigan. Electronic address:; United Kingdom; Ohio; Switzerland; Ireland; Italy; California; New Jersey; Japan
41186866,Effectiveness of Mailed Patient Activation Letters for Blood Pressure Control: A Randomized Quality Improvement Trial.,2026,Journal of general internal medicine,7,Cheng Mike K W; Eseigbe Michael O; Orozco Jaime H; Park Soo; Modrow Madelaine F,"Division of General Internal Medicine, Department of Medicine, University of California San Francisco, San Francisco, CA, USA. mike.cheng@ucsf.edu. | Department of Medicine, Olive View-University of California Los Angeles, Los Angeles, CA, USA. | Department of Epidemiology and Biostatistics, University of California San Francisco, San Francisco, CA, USA.",USA,Global North,USA
40944674,Culinary Medicine Program Using Herbs and Spices to Increase Vegetable Consumption Among Adults with Hypertension: A Randomized Controlled Feasibility Study.,2026,American journal of health promotion : AJHP,4,Alcorn Michelle; Childress Allison; Najam Wasiuddin; Galyean Shannon,"Department of Hospitality and Retail Management, Texas Tech University, Lubbock, TX, USA. | Department of Nutritional Sciences, Texas Tech University, Lubbock, TX, USA. | Department of Epidemiology and Biostatistics, School of Public Health-Bloomington, Indiana University, Bloomington, IN, USA.",USA,Global North,USA
40758102,Comparison of End-tidal Sevoflurane Concentration Required for Optimal Depth of Anesthesia during Opioid-free General Anesthesia Using Intravenous Lignocaine versus Morphine.,2026,Annals of African medicine,6,Rajan Sunil; Sreekumar Gayathri; Roy Roniya Ann; Haleel Fazil; Manikandan Maneesh Sheela,"Department of Anaesthesiology, Amrita Institute of Medical Sciences, Amrita Vishwa Vidyapeetham, Kochi, Kerala, India.",India,Global South,India
41534755,"Efficacy and multi-omics regulatory effects of Guilou Tongluo formula in patients with chronic obstructive pulmonary disease combined with pulmonary hypertension: A prospective, multicenter, randomized controlled trial.",2026,Journal of ethnopharmacology,10,Liu Ke; Peng Wei; Yang Xiuli; Zeng Yi; Liu Yufei,"Department of Respiratory Medicine, Hospital of Chengdu University of Traditional Chinese Medicine, Chengdu, 610072, China. | State Key Laboratory of Southwestern Chinese Medicine Resources, School of Pharmacy, Chengdu University of Traditional Chinese Medicine, Chengdu, 611137, China. | Department of Heart Disease of Traditional Chinese Medicine, First People's Hospital of Zigong City, Zigong, 643000, China. Electronic address: arenally@sina.com.",China,Global South,China; China. Electronic address:
42024666,Effects of peppermint (Mentha x piperita L.) oil on cardiometabolic outcomes in patients with pre- and stage 1 hypertension: A placebo randomized controlled trial.,2026,PloS one,7,Sinclair Jonathan; Sant Benjamin; Du XuanYi; Shadwell Gareth; Dillon Stephanie,"Research Centre for Applied Sport, Physical Activity and Performance, School of Health, Social Work & Sport, University of Lancashire, Lancashire, United Kingdom. | School of Medicine & Dentistry, University of Lancashire, Lancashire, United Kingdom. | Centre for Research in Psychology and Sport Sciences, School of Life and Medical Sciences, University of Hertfordshire, Hertfordshire, United Kingdom.",United Kingdom,Global North,United Kingdom
42093981,"Real-world study of SHR-1210 plus apatinib in the treatment of BRAF-negative mucosal melanoma: efficacy, safety and implications of precision medicine.",2026,Frontiers in immunology,11,Zhang Yong; Wang Ting; Lyu An-Qi; Zhang Fang; Li Fang-Hui,"Department of Immunotherapy, The Affiliated Cancer Hospital of Zhengzhou University & Henan Cancer Hospital, Zhengzhou, China. | Department of Radiation Oncology, The Affiliated Cancer Hospital of Zhengzhou University & Henan Cancer Hospital, Zhengzhou, China. | Precision Health Program, Department of Radiology, College of Human Medicine, Michigan State University, East Lansing, MI, United States.",China,Global South,China; USA
42018849,The effects of oxytocin and carbetocin on hemostatic parameters in women after spontaneous vaginal delivery: a randomized trial.,2026,Revista da Associacao Medica Brasileira (1992),6,Yoruk Nurcan; Aksoy Ayse Nur; Kadioglu Berrin Göktug; Celebioglu Nazım Ozan; Altinkaynak Konca,"University of Health Sciences, Erzurum City Hospital, Department of Obstetrics and Gynecology - Erzurum, Türkiye. | University of Health Sciences, Erzurum City Hospital, Department of Biochemistry - Erzurum, Türkiye.",Türkiye,Unknown,Türkiye
42016016,"Effectiveness and Safety of Telmisartan Plus Amlodipine Compared to Telmisartan Plus Cilnidipine in Indian Patients with Hypertension and Renal Impairment: A Randomized, Open Label, Post Marketing Study (START Renal).",2026,International journal of nephrology and renovascular disease,14,Jadhav Uday; Guha Santanu; Mittal Harsh; Barik Chinmoy; Gillurkar Chandrashekhar S,"Department of Cardiology and Cardiac CT, MGM New Bombay Hospital, Mumbai, Maharashtra, India. | Department of Cardiology, Narayan Medical College, Jamuhar, Bihar, India. | Department of General Medicine, Panchsheel Hospital, Delhi, India.",India,Global South,India
42058096,A phase 1 study of a second experience with Group Retreat Psilocybin Therapy for partial responders after a first experience.,2026,Frontiers in public health,16,Back Anthony L; McGregor Bonnie A; Thorn Leslie L; Harvey Kalin; Blom Dianna,"Department of Medicine, University of Washington School of Medicine, Seattle, WA, United States. | Fred Hutchinson Cancer Center, Seattle, WA, United States. | Orion Center for Integrative Medicine, Seattle, WA, United States.",USA,Global North,USA; Canada
41980852,Chronotype-aligned exercise timing in middle-aged adults at cardiometabolic risk: a randomised controlled trial.,2026,Open heart,3,Tariq Arsalan; Harris Khalid Mohammed; Ammar Muhammad,"University Institute of Physical Therapy, The University of Lahore, Lahore, Pakistan at81931@gmail.com. | Edinburgh Medical school, University of Edinburgh Division of Medical and Radiological Sciences, Edinburgh, UK. | Ibadat International University, Islamabad, Pakistan.",Pakistan,Global South,Pakistan; United Kingdom
41961837,Risk factors for spontaneous abortion following hepatitis E vaccination during and shortly before pregnancy: Further analysis from a cluster-randomized trial.,2026,PloS one,32,Aziz Asma Binte; Ahmmed Faisal; Haile Kassa; Kering Kelvin; Dudman Susanne,"International Vaccine Institute, Seoul, Republic of Korea. | International Centre for Diarrhoeal Disease Research, Dhaka, Bangladesh. | Institute of Clinical Medicine, University of Oslo, Norway.",Republic of Korea,Unknown,Republic of Korea; Bangladesh; Norway; Ethiopia; Kenya; India; USA
41954764,Melatonin effects on the left ventricular function in neonates with persistent pulmonary hypertension.,2026,European journal of pediatrics,5,Nofal Sarah M; El-Mashad Abdel-Rahman M; Elmesiry Asmaa M; Abouelenain Amany M; Awny Mostafa M,"Pediatric and Neonatology Department, Faculty of Medicine, Tanta University, El Bahr St., Tanta Qism 2, First Tanta, Gharbia Governorate, Tanta, 31111, Egypt. | Pediatric and Neonatology Department, Faculty of Medicine, Tanta University, El Bahr St., Tanta Qism 2, First Tanta, Gharbia Governorate, Tanta, 31111, Egypt. asmaa.elmesery@med.tanta.edu.eg. | Clinical Pathology Department, Faculty of Medicine, Tanta University, Tanta, Egypt.",Egypt,Global South,Egypt
41950472,Multifaceted Strategies for Hypertension Control in Low-Income Patients.,2026,The New England journal of medicine,20,Mills Katherine T; Krousel-Wood Marie; Peacock Erin M; Chen Jing; Allouch Farah,"Department of Epidemiology, Tulane University School of Public Health and Tropical Medicine, New Orleans. | Tulane University Translational Sciences Institute, New Orleans. | Department of Medicine, Tulane University School of Medicine, New Orleans.",New Orleans,Unknown,New Orleans; Dallas; Greensburg; Baton Rouge; Jackson; Clinton; Biloxi; Lake Charles; Avondale; Franklin
41978208,Telehealth-Delivered Dietary Counseling in Myeloproliferative Neoplasms: A Randomized Feasibility Study.,2026,Nutrients,5,Fleischman Angela; Li Jiarui; Tabban Asmaa; Cai Shuwei; Odegaard Andrew,"Irvine School of Medicine, University of California, Irvine, CA 92617, USA. | Chao Family Comprehensive Cancer Center, University of California, Irvine, CA 92617, USA. | Irvine School of Public Health, University of California, Irvine, CA 92617, USA.",USA,Global North,USA
42023995,"Effect of Once-Daily Macitentan 75 mg on the Pharmacokinetics of Sildenafil, Riociguat, or Rosuvastatin in Healthy Male Participants.",2026,Journal of clinical pharmacology,6,Csonka Dénes; Gargano Cynthia; Goyal Navin; De Meulder Marc; Yartsev Vitaly,"Johnson & Johnson, Allschwil, Switzerland. | Johnson and Johnson, Spring House, PA, USA. | Johnson & Johnson, Raritan, NJ, USA.",Switzerland,Global North,Switzerland; USA; Belgium
41993641,Effect of acupuncture on ischemic stroke patients with hypertension: a randomized clinical trail.,2026,Frontiers in neurology,16,Liu Wei; Li Boxuan; Rong Mengying; Li Chen; Zhao Qi,"First Teaching Hospital of Tianjin University of Traditional Chinese Medicine, National Clinical Research Center for Chinese Medicine, Tianjin, China. | Tianjin University of Traditional Chinese Medicine, Tianjin, China. | Acupuncture Department, The First Affiliated Hospital of Zhejiang Chinese Medical University (Zhejiang Provincial Hospital of Traditional Chinese Medicine), Hangzhou, China.",China,Global South,China
41988923,Bedroom Air Filtration and Home Blood Pressures of Older Adults Living in a Residential Facility.,2026,"Journal of clinical hypertension (Greenwich, Conn.)",10,Brook Robert D; Song Yao; Bard Robert L; Wang Lu; Klaver Zachary M,"Division of Cardiovascular Diseases, Wayne State University, Detroit MI, USA. | Department of Biostatistics, School of Public Health, University of Michigan, Ann Arbor MI, USA. | Division of Cardiovascular Medicine, University of Michigan, Ann Arbor MI, USA.",USA,Global North,USA
41981710,Phase II Trial of Opaganib Addition in Metastatic Castration-Resistant Prostate Cancer After Disease Progression on Abiraterone or Enzalutamide.,2026,Cancer medicine,13,Brown Jacqueline T; Nazha Bassel; Ferreira Anna C; Armeson Kent; Hill Elizabeth G,"Department of Hematology and Medical Oncology, Emory University School of Medicine, Atlanta, Georgia, USA. | Winship Cancer Institute of Emory University, Atlanta, Georgia, USA. | Department of Public Health Sciences, Medical University of South Carolina, Charleston, South Carolina, USA.",USA,Global North,USA; Israel
41962308,Efficacy and safety of regorafenib in patients with advanced pretreated melanoma: results of the RegoMel phase II clinical trial.,2026,ESMO open,22,Dirven I; Bertels C; Moreels Y; Kessels J I; Vanlaer N,"Department of Medical Oncology, Vrije Universiteit Brussel (VUB), Universitair Ziekenhuis Brussel (UZ Brussel), Translational Oncology Research Center (TORC), Team Laboratory for Medical and Molecular Oncology (LMMO), Brussels, Belgium. Electronic address: iris.dirven@uzbrussel.be. | Department of Medical Oncology, Vrije Universiteit Brussel (VUB), Universitair Ziekenhuis Brussel (UZ Brussel), Translational Oncology Research Center (TORC), Team Laboratory for Medical and Molecular Oncology (LMMO), Brussels, Belgium. | Department of Dermatology, Vrije Universiteit Brussel (VUB), Universitair Ziekenhuis Brussel (UZ Brussel), Brussels, Belgium.",Belgium. Electronic address:,Global North,Belgium. Electronic address:; Belgium
41944046,Acute Effect of Transcutaneous Auricular Vagus Nerve Stimulation in Two Different Locations on Blood Pressure and Cardiac Autonomic Modulation in Healthy and Hypertensive Individuals: Pilot Study of a Randomized Crossover Clinical Trial.,2026,Physiotherapy research international : the journal for researchers and clinicians in physical therapy,9,Leite Souza Paulo Henrique; Ferrari Corrêa João Carlos; Venâncio Bruno Paulino; Buzá Liége Sanches; Oliveira da Silva Gustavo,"Doctoral and Master Program in Science of Rehabilitation, Nove de Julho University, São Paulo, Brazil. | Neuromodulation Center and Center for Clinical Research Learning, Harvard Medical School, Spaulding Rehabilitation Hospital and Massachusetts General Hospital, Boston, Massachusetts, USA.",Brazil,Global South,Brazil; USA
41943475,Association between cardiac autonomic control and blood pressure response to resistance training in adults with pharmacologically treated hypertension.,2026,Physiological reports,3,Benavides-Roca Luis A; Parra Germán; Zamunér Antonio R,"School of Sports Sciences and Physical Activity, Faculty of Health, Universidad Santo Tomas, Talca, Chile. | Faculty of Education, Universidad Autónoma de Chile, Talca, Chile. | Department of Physiology, Universidad de Valencia, Valencia, Spain.",Chile,Global South,Chile; Spain
41926960,"[<sup>177</sup>Lu]-PSMA-617-PSMA-617 in oligometastatic hormone sensitive prostate cancer (BULLSEYE): an open-label, randomised, phase 2 study.",2026,The Lancet. Oncology,21,Privé Bastiaan M; Noordzij Walter; Muselaers Constantijn H J; de Jong Igle J; van Oort Inge M,"Department of Radiology and Nuclear Medicine, Radboud University Medical Centre, Nijmegen, Netherlands; Department of Radiation Oncology, Erasmus MC, Rotterdam, The Netherlands. | Department of Nuclear Medicine and Molecular Imaging, University of Groningen, University Medical Centre Groningen, Groningen, Netherlands. | Department of Urology, Radboud University Medical Centre, Nijmegen, Netherlands.",The Netherlands,Global North,The Netherlands; Netherlands; Germany; the Netherlands; Cyprus; Germany. Electronic address:
41849831,Harnessing metabolomics and proteomics in a clinical trial for pulmonary arterial hypertension: insights from post-hoc analysis of the REHAB-PH trial.,2026,EBioMedicine,8,Pi Hongyang; Xia Lu; Rayner Samuel G; Probstfield Jeffrey L; Branch Kelley R,"Division of Pulmonary, Critical Care and Sleep Medicine, University of Washington, Seattle, WA, USA. | Department of Statistics and Probability, Michigan State University, USA. | Division of Cardiology, University of Washington, Seattle, WA, USA.",USA,Global North,USA
41826030,The effects of cold application on blood pressure in patients with hypertension: A randomized placebo-controlled trial.,2026,Applied nursing research : ANR,3,Uren Yavuz; Kiyak Emine; Karadas Sevdegul,"Faculty of Health Sciences, Van Yuzuncu Yil Universty, Van, Turkiye. Electronic address: yavuzuren@yyu.edu.tr. | Faculty of Nursing, Ataturk University, Erzurum, Turkiye. Electronic address: emine.kiyak@atauni.edu.tr. | Van Yüzüncü Yıl University Dursun Odabaş Medical Centre Adult Emergency Department, Van, Turkiye. Electronic address: sevdegulkaradas@yyu.edu.tr.",Turkiye. Electronic address:,Unknown,Turkiye. Electronic address:
